id,x,y,hue,saturation,value
VII_59_433_x,0.05,0.05,0.07100965665957366,0.4503215799998427,0.6557604118032849
GEM_87_2,0.131818,0.05,0.07501622565451661,0.5158940023211571,0.5618814421949846
VII_59_758_x,0.213636,0.05,0.0798781889545918,0.5821525435889339,0.358834312274512
GEM_80_2,0.295455,0.05,0.08063498944870344,0.4931182159594392,0.45699315021271186
GEM_84_2,0.377273,0.05,0.08239693603188376,0.47139872031520097,0.6390502605832903
VII_60_273_x,0.459091,0.05,0.0833784154055956,0.46694575400608773,0.48408390102256116
GEM_84_9,0.540909,0.05,0.08344104419794182,0.27826858540776217,0.47835824901723173
VII_65_1443_x,0.622727,0.05,0.08399853941966141,0.3472758616137764,0.4903211607053206
GEM_67_2,0.704545,0.05,0.08402678740221327,0.3539036884462403,0.5471240408880566
GEM_64_3,0.786364,0.05,0.08703280391327606,0.36650535868347134,0.6877406736596813
GEM_86_35,0.868182,0.05,0.08752513856707723,0.38744384814215416,0.5213044452762832
VII_59_744_x,0.95,0.05,0.08753916539265624,0.5243124045010452,0.6147034786314319
VII_59_773_x,0.05,0.14,0.0877272622722444,0.6290372701812518,0.4174118773132113
GEM_88_4,0.131818,0.14,0.09124634200316087,0.4209816164036508,0.6162358602828794
VII_59_761_x,0.213636,0.14,0.091775166757618,0.30862426131404513,0.539978193813009
VII_59_463_x,0.295455,0.14,0.09398843324800331,0.37776275924372044,0.5537787784166962
VII_60_527_x,0.377273,0.14,0.09479450471461888,0.24718257935985535,0.33617508461801116
VII_59_869_x,0.459091,0.14,0.09625889845948186,0.7058344793605869,0.3485026617558512
VII_59_267_x,0.540909,0.14,0.09961818625674906,0.3851879292526666,0.4978044624229265
VII_60_132_x,0.622727,0.14,0.10130010306988277,0.4467138468246516,0.5507591584203155
SM_2012-0158,0.704545,0.14,0.10229055108124203,0.4292944384458527,0.5068016235391908
GEM_81_12,0.786364,0.14,0.10307000665268576,0.4323297105751822,0.5654847545218387
VII_59_512_x,0.868182,0.14,0.10462189178414705,0.43306420454515726,0.4986305187293728
VII_59_483_x,0.95,0.14,0.10522130804498239,0.4331349533046635,0.4913586161223019
GEM_71_5,0.05,0.23,0.10578380463407296,0.507438540835319,0.40236685359328395
GEM_69_17,0.131818,0.23,0.10594459199493937,0.49253705251081326,0.5116329348726386
VII_59_849_x,0.213636,0.23,0.10594957084437075,0.6381810365301676,0.4587566320768404
VII_59_806_x,0.295455,0.23,0.10723449618703854,0.33864061119123795,0.6369436588243426
VII_59_513_x,0.377273,0.23,0.1077288605281328,0.38872894673867425,0.5379024371188139
VII_59_749_x,0.459091,0.23,0.10899607022155966,0.6974296154948131,0.5780134399536369
GEM_89_11,0.540909,0.23,0.11130420187736298,0.5900385310498603,0.6318418654282543
GEM_73_2,0.622727,0.23,0.11266943924074103,0.37726432040353797,0.42327872086764756
GEM_88_7,0.704545,0.23,0.11471444536852168,0.2844988870896875,0.45815396427198257
VII_59_747_x,0.786364,0.23,0.11497507610608274,0.52425522781372,0.447470502391863
GEM_76_10,0.868182,0.23,0.11532484423528273,0.5635938224358107,0.21819215163709862
GEM_93_6,0.95,0.23,0.11718315707530191,0.2931811835981504,0.48615989760857226
GEM_89_24,0.05,0.32,0.11886120552842573,0.550440167410785,0.6598633464461301
GS_08_2_GM,0.131818,0.32,0.11917345037196796,0.3599800594164788,0.3878890682697729
VII_59_515_x,0.213636,0.32,0.12032198689011034,0.45525472217726726,0.5661126123720652
GEM_68_43,0.295455,0.32,0.12202830675780592,0.4540672862630382,0.569823230364813
VII_60_286_x,0.377273,0.32,0.12338247401468631,0.5575782828978583,0.404759645942728
VII_77_1_x,0.459091,0.32,0.12382302854454096,0.52121459130933,0.44472347532786766
VII_59_940_x,0.540909,0.32,0.12568302713878043,0.3015246665950127,0.6184051942899084
VII_60_203_x,0.622727,0.32,0.12688263334900676,0.400134975914406,0.5848494143539742
GEM_74_10,0.704545,0.32,0.1271925356246978,0.3214105903722107,0.5854447054139059
GEM_89_10,0.786364,0.32,0.12998208631152147,0.29184770723904735,0.5869339775720571
GS_07_35_GM,0.868182,0.32,0.1309492020591596,0.407638168667331,0.7045359264974582
GEM_86_6,0.95,0.32,0.14364601520721962,0.3362816100174658,0.5680366093919377
VII_59_777_x,0.05,0.41,0.14586224726269884,0.25760552387336033,0.26871963348484046
VII_59_804_x,0.131818,0.41,0.1460944662417817,0.703900120833249,0.4250476940663925
GEM_89_25,0.213636,0.41,0.14676901580056959,0.3108258419327986,0.4102975112535858
VII_59_742_x,0.295455,0.41,0.1477023161637617,0.3365071000867249,0.5133527837228942
GEM_70_3,0.377273,0.41,0.1484323245321757,0.299719404707845,0.45336999263561756
GS_2000_28_GM,0.459091,0.41,0.1502313014754344,0.48905300614093583,0.3686942295083005
